CBO,WMC,SLOC,Output
18,3,88,Precision
5,14,52,Accuracy
12,10,121,Accuracy
22,7,251,Accuracy
15,1,108,Precision
10,2,54,Accuracy
13,3,71,Fmes
15,19,278,Gmean1
12,2,76,Balance
4,2,17,Accuracy
12,4,88,Accuracy
8,2,18,Accuracy
11,3,45,Accuracy
2,3,48,Accuracy
14,2,77,Precision
36,7,223,Gmean1
6,3,37,Accuracy
0,0,1,Accuracy
11,18,105,Accuracy
5,4,23,Accuracy
7,17,248,Accuracy
2,1,6,Accuracy
1,0,8,Accuracy
7,3,44,Accuracy
25,8,218,Accuracy
14,5,115,Precision
2,2,11,Accuracy
2,1,7,Accuracy
4,1,9,Accuracy
13,8,138,Fmes
18,13,127,Precision
2,1,7,Accuracy
12,21,147,Balance
6,20,136,Accuracy
3,3,27,Accuracy
12,4,82,Accuracy
3,1,10,Accuracy
5,1,19,Accuracy
4,4,22,Accuracy
4,8,47,Accuracy
6,5,34,Accuracy
4,2,10,Accuracy
2,4,17,Accuracy
3,1,41,Accuracy
19,6,86,Precision
3,1,55,Accuracy
3,1,61,Accuracy
13,5,86,Fmes
2,2,8,Accuracy
4,3,16,Accuracy
12,1,91,Accuracy
10,1,50,Accuracy
11,5,117,Accuracy
4,3,40,Accuracy
1,2,12,Accuracy
45,40,581,Accuracy
9,3,80,Balance
11,7,117,Accuracy
6,6,49,Accuracy
12,9,121,Accuracy
10,3,34,Accuracy
1,1,7,Accuracy
40,6,373,Gmean1
12,10,130,Accuracy
21,5,176,Precision
2,1,6,Accuracy
3,3,17,Accuracy
6,1,20,Accuracy
6,1,13,Accuracy
25,5,438,Precision
8,1,74,Accuracy
3,2,19,Accuracy
16,13,244,Precision
16,1,34,Precision
9,7,83,Accuracy
15,11,200,Precision
29,15,211,Accuracy
10,4,48,Accuracy
0,2,12,Accuracy
11,4,90,Balance
12,4,42,Balance
8,10,121,Accuracy
3,3,27,Accuracy
8,2,19,Accuracy
13,1,40,Fmes
13,13,472,Fmes
3,5,43,Accuracy
0,1,11,Accuracy
9,25,302,Balance
21,35,620,Accuracy
10,16,392,Accuracy
6,7,87,Accuracy
1,1,7,Accuracy
4,2,14,Accuracy
16,10,166,Accuracy
2,6,27,Accuracy
15,9,102,Accuracy
3,1,6,Accuracy
1,8,34,Accuracy
8,7,94,Accuracy
4,30,780,Accuracy
1,2,10,Accuracy
9,3,25,Accuracy
1,5,22,Accuracy
16,15,105,Accuracy
12,5,57,Accuracy
4,3,18,Accuracy
14,3,106,Accuracy
4,1,14,Accuracy
18,5,206,Accuracy
9,2,41,Accuracy
26,14,219,Accuracy
22,6,182,Accuracy
18,5,79,Accuracy
1,1,3,Accuracy
3,1,17,Accuracy
6,4,42,Accuracy
11,22,397,Accuracy
5,12,145,Accuracy
5,3,16,Accuracy
5,9,42,Accuracy
16,17,231,Accuracy
4,11,69,Accuracy
23,9,232,Accuracy
3,1,7,Accuracy
3,1,7,Accuracy
3,1,11,Accuracy
3,1,19,Accuracy
8,1,23,Accuracy
1,4,25,Accuracy
3,2,12,Accuracy
14,6,140,Accuracy
7,1,46,Accuracy
21,17,780,Accuracy
14,17,217,Accuracy
7,14,145,Accuracy
8,3,52,Accuracy
12,4,81,Accuracy
25,7,139,Accuracy
3,1,79,Accuracy
3,1,57,Accuracy
5,1,12,Accuracy
3,1,61,Accuracy
6,1,91,Accuracy
3,1,72,Accuracy
2,1,6,Accuracy
5,2,25,Accuracy
13,5,75,Accuracy
1,1,9,Accuracy
2,1,9,Accuracy
4,7,56,Accuracy
10,4,71,Accuracy
1,3,16,Accuracy
1,2,11,Accuracy
11,4,23,Accuracy
13,10,169,Accuracy
9,10,90,Accuracy
2,1,9,Accuracy
3,3,15,Accuracy
166,144,2932,Accuracy
2,7,33,Accuracy
11,5,55,Accuracy
7,2,27,Accuracy
6,2,18,Accuracy
4,5,40,Accuracy
1,2,11,Accuracy
2,3,19,Accuracy
3,2,21,Accuracy
4,2,38,Accuracy
17,4,57,Accuracy
4,2,73,Accuracy
5,2,20,Accuracy
17,3,49,Accuracy
29,16,269,Balance
30,29,525,Accuracy
5,8,166,Accuracy
5,3,25,Accuracy
5,1,31,Accuracy
4,2,11,Accuracy
4,1,14,Accuracy
13,2,47,Accuracy
22,16,731,Accuracy
8,8,98,Accuracy
22,12,195,Accuracy
4,2,25,Accuracy
18,2,69,Accuracy
17,3,108,Accuracy
2,1,8,Accuracy
7,2,32,Accuracy
3,3,12,Accuracy
4,3,36,Accuracy
6,7,80,Accuracy
4,2,32,Accuracy
2,6,36,Accuracy
5,2,16,Accuracy
3,1,8,Accuracy
3,5,21,Accuracy
4,9,45,Accuracy
4,1,23,Accuracy
2,1,6,Accuracy
8,5,67,Accuracy
26,15,250,Accuracy
3,1,9,Accuracy
9,5,66,Accuracy
1,1,7,Accuracy
6,3,25,Accuracy
6,3,37,Accuracy
1,2,6,Accuracy
4,2,15,Accuracy
7,3,27,Accuracy
6,2,47,Accuracy
6,5,50,Accuracy
14,4,30,Accuracy
3,2,9,Accuracy
13,23,301,Accuracy
1,1,11,Accuracy
1,2,5,Accuracy
1,8,18,Accuracy
2,2,49,Accuracy
3,3,27,Accuracy
15,2,59,Accuracy
22,17,270,Balance
4,4,23,Accuracy
2,1,13,Accuracy
3,4,21,Accuracy
23,9,219,Balance
15,1,78,Accuracy
8,2,36,Accuracy
13,1,70,Accuracy
10,6,44,Accuracy
4,9,60,Accuracy
14,4,99,Accuracy
7,5,38,Accuracy
19,6,108,Fmes
7,7,89,Accuracy
8,4,33,Accuracy
7,2,21,Accuracy
27,3,146,Accuracy
4,2,13,Accuracy
30,5,117,Balance
21,5,108,Accuracy
16,6,84,Accuracy
10,4,48,Accuracy
3,1,41,Accuracy
14,5,63,Accuracy
7,5,65,Accuracy
11,3,65,Accuracy
6,1,12,Accuracy
1,2,12,Accuracy
10,1,32,Accuracy
9,8,57,Accuracy
9,4,93,Accuracy
6,1,29,Accuracy
6,4,28,Accuracy
7,2,50,Accuracy
16,3,125,Accuracy
20,3,138,Balance
20,2,125,Balance
3,4,31,Accuracy
2,1,10,Accuracy
5,4,30,Accuracy
8,6,73,Accuracy
6,3,67,Accuracy
49,10,580,Accuracy
4,1,14,Accuracy
12,8,133,Accuracy
2,1,9,Accuracy
16,7,106,Accuracy
64,38,1358,Balance
1,0,5,Accuracy
10,2,33,Accuracy
10,2,50,Accuracy
38,10,481,Accuracy
3,1,8,Accuracy
2,3,12,Accuracy
8,4,40,Accuracy
7,7,49,Accuracy
27,5,213,Accuracy
4,6,64,Accuracy
4,5,55,Accuracy
8,7,75,Accuracy
2,2,9,Accuracy
3,1,8,Accuracy
4,1,12,Accuracy
11,14,329,Accuracy
4,4,44,Accuracy
3,2,31,Accuracy
4,1,12,Accuracy
4,4,127,Accuracy
32,10,363,Accuracy
5,1,8,Accuracy
19,11,374,Accuracy
2,6,32,Accuracy
1,2,13,Accuracy
6,34,1595,Accuracy
4,2,50,Accuracy
24,72,679,Balance
4,2,13,Accuracy
21,16,175,Accuracy
8,1,25,Accuracy
41,17,554,Accuracy
14,1,38,Gmean1
5,2,13,Accuracy
4,4,25,Accuracy
10,31,967,Accuracy
7,4,102,Accuracy
8,50,2098,Accuracy
20,44,714,Gmean1
41,40,595,Accuracy
2,2,15,Accuracy
6,8,52,Accuracy
1,2,14,Accuracy
32,12,345,Gmean1
34,7,276,Accuracy
6,2,11,Accuracy
4,2,11,Accuracy
4,5,28,Accuracy
12,5,91,Accuracy
3,2,14,Accuracy
5,3,70,Accuracy
3,4,24,Accuracy
4,1,14,Accuracy
36,5,149,Gmean1
4,3,19,Accuracy
42,28,732,Accuracy
3,1,3,Accuracy
5,7,129,Accuracy
6,1,13,Accuracy
3,1,10,Accuracy
3,1,9,Accuracy
5,2,23,Accuracy
33,14,318,Gmean1
16,10,152,Gmean1
7,6,279,Balance
4,1,10,Accuracy
29,7,215,Gmean1
14,4,46,Gmean1
24,7,119,Gmean1
3,4,17,Accuracy
12,19,436,Accuracy
10,2,37,Accuracy
25,10,271,Gmean1
10,1,74,Accuracy
4,2,18,Accuracy
1,3,14,Accuracy
1,5,27,Accuracy
13,5,112,Fmes
14,4,108,Accuracy
28,19,414,Gmean1
9,3,48,Accuracy
28,18,355,Gmean1
12,2,38,Accuracy
5,4,23,Accuracy
13,8,112,Fmes
9,4,37,Accuracy
10,4,54,Balance
1,1,7,Accuracy
3,4,29,Accuracy
3,1,8,Accuracy
22,5,135,Accuracy
3,3,17,Accuracy
23,7,145,Gmean1
21,6,406,Gmean1
6,5,28,Accuracy
14,1,97,Gmean1
11,1,84,Accuracy
3,3,24,Accuracy
18,3,78,Balance
10,2,30,Balance
7,2,19,Balance
6,1,16,Accuracy
5,1,11,Accuracy
3,7,37,Accuracy
7,2,13,Accuracy
6,2,16,Accuracy
7,6,127,Accuracy
34,9,350,Accuracy
6,1,24,Accuracy
17,10,165,Accuracy
5,9,74,Accuracy
12,15,283,Accuracy
5,21,94,Accuracy
19,27,489,Accuracy
4,1,17,Accuracy
11,7,400,Balance
3,11,91,Accuracy
5,1,7,Accuracy
4,3,31,Accuracy
2,1,8,Accuracy
23,14,159,Accuracy
10,1,30,Accuracy
2,3,49,Accuracy
14,7,255,Accuracy
7,24,120,Accuracy
25,7,114,Gmean1
33,17,394,Gmean1
6,4,50,Accuracy
5,1,56,Accuracy
7,5,54,Accuracy
10,3,48,Accuracy
4,2,13,Accuracy
7,4,25,Accuracy
17,2,94,Balance
11,6,55,Accuracy
43,22,701,Gmean1
2,3,13,Accuracy
1,2,6,Accuracy
39,22,257,Gmean1
7,4,26,Accuracy
10,3,66,Accuracy
8,31,446,Accuracy
26,19,538,Gmean1
34,74,804,Accuracy
2,1,9,Accuracy
1,0,6,Accuracy
3,3,25,Accuracy
6,5,56,Accuracy
5,3,20,Accuracy
2,2,11,Accuracy
9,4,121,Accuracy
0,2,5,Accuracy
6,4,25,Accuracy
13,3,250,Accuracy
31,9,198,Gmean1
13,2,95,Accuracy
11,1,31,Accuracy
6,2,78,Accuracy
17,3,152,Balance
7,2,12,Accuracy
7,3,28,Accuracy
12,17,153,Accuracy
32,11,266,Gmean1
28,10,363,Gmean1
1,2,18,Accuracy
14,19,241,Accuracy
2,1,9,Accuracy
4,6,52,Accuracy
5,6,39,Accuracy
4,4,21,Accuracy
13,4,52,Accuracy
4,3,21,Accuracy
22,7,75,Balance
6,1,15,Accuracy
11,3,76,Accuracy
8,14,167,Accuracy
4,1,24,Accuracy
0,0,5,Accuracy
2,2,13,Accuracy
9,5,100,Accuracy
2,2,19,Accuracy
30,18,260,Accuracy
7,1,16,Accuracy
19,3,151,Accuracy
9,3,58,Accuracy
46,47,914,Accuracy
2,2,18,Accuracy
16,15,198,Accuracy
3,1,17,Accuracy
19,3,105,Balance
5,3,90,Accuracy
7,1,8,Accuracy
11,3,128,Accuracy
5,7,49,Accuracy
6,1,32,Accuracy
6,1,9,Accuracy
10,2,37,Accuracy
13,1,75,Accuracy
3,2,11,Accuracy
29,6,176,Accuracy
12,10,174,Accuracy
50,23,862,Accuracy
5,2,13,Accuracy
4,2,11,Accuracy
12,3,72,Accuracy
7,5,38,Accuracy
11,5,226,Accuracy
2,4,24,Accuracy
16,12,285,Balance
31,48,758,Gmean1
27,22,283,Accuracy
7,16,502,Accuracy
4,9,100,Accuracy
16,14,268,Accuracy
8,2,35,Accuracy
4,2,12,Accuracy
2,3,19,Accuracy
9,12,108,Accuracy
15,4,94,Accuracy
27,10,385,Accuracy
6,12,129,Accuracy
2,11,44,Accuracy
11,1,58,Accuracy
1,1,6,Accuracy
13,17,179,Accuracy
10,3,48,Accuracy
22,7,199,Accuracy
2,1,7,Accuracy
3,1,6,Accuracy
4,5,10,Accuracy
5,2,19,Accuracy
12,1,15,Accuracy
12,8,56,Accuracy
14,4,42,Accuracy
6,2,15,Accuracy
8,7,63,Accuracy
4,12,87,Accuracy
4,12,80,Accuracy
16,2,49,Accuracy
57,80,1349,Accuracy
3,8,73,Accuracy
5,4,64,Accuracy
0,3,36,Accuracy
15,2,69,Accuracy
18,4,152,Accuracy
2,1,41,Accuracy
30,6,426,Precision
16,1,86,Accuracy
15,3,57,Accuracy
9,1,23,Accuracy
28,11,353,Precision
4,4,24,Accuracy
4,2,28,Accuracy
2,1,6,Accuracy
3,1,14,Accuracy
21,10,131,Accuracy
4,1,22,Accuracy
18,11,393,Accuracy
6,1,113,Accuracy
30,11,210,Precision
4,1,12,Accuracy
40,17,532,Precision
35,17,670,Precision
2,1,7,Accuracy
2,1,7,Accuracy
7,1,32,Accuracy
6,7,70,Accuracy
14,5,84,Accuracy
9,4,32,Accuracy
3,1,146,Accuracy
28,8,144,Precision
16,10,208,Balance
5,8,55,Accuracy
13,2,50,Accuracy
28,6,332,Precision
3,1,9,Accuracy
7,4,54,Accuracy
19,9,228,Accuracy
6,4,33,Accuracy
12,7,74,Accuracy
30,26,704,Precision
9,3,83,Accuracy
4,4,21,Accuracy
3,4,27,Accuracy
7,13,106,Accuracy
3,2,24,Accuracy
4,1,12,Accuracy
3,1,7,Accuracy
20,3,196,Accuracy
2,2,17,Accuracy
4,2,17,Accuracy
28,3,93,Accuracy
7,1,12,Accuracy
8,2,18,Accuracy
12,10,90,Accuracy
38,6,292,Precision
4,1,10,Accuracy
9,5,45,Accuracy
12,9,100,Accuracy
27,2,68,Gmean2
10,3,47,Accuracy
11,1,58,Accuracy
7,2,16,Accuracy
32,24,539,Precision
2,2,13,Accuracy
9,12,124,Accuracy
6,8,72,Accuracy
7,4,89,Accuracy
1,3,21,Accuracy
5,2,33,Accuracy
5,1,70,Accuracy
4,2,21,Accuracy
10,5,48,Accuracy
6,1,36,Accuracy
19,1,75,Accuracy
14,29,626,Accuracy
93,87,1412,Accuracy
4,2,10,Accuracy
1,3,15,Accuracy
4,6,75,Accuracy
8,6,84,Accuracy
10,4,280,Accuracy
30,3,632,Balance
11,7,115,Accuracy
7,7,79,Accuracy
3,10,37,Accuracy
4,16,59,Accuracy
10,2,41,Accuracy
18,3,98,Accuracy
8,5,42,Accuracy
12,3,107,Accuracy
6,5,56,Accuracy
7,4,53,Accuracy
4,2,15,Accuracy
20,9,110,Accuracy
6,13,60,Accuracy
35,49,524,Balance
8,6,88,Accuracy
11,5,47,Accuracy
1,1,7,Accuracy
39,86,155,Balance
21,6,123,Accuracy
9,10,71,Accuracy
3,6,71,Accuracy
7,12,73,Accuracy
26,9,263,Accuracy
2,1,12,Accuracy
12,4,48,Accuracy
3,2,15,Accuracy
6,2,20,Accuracy
12,8,165,Accuracy
2,3,13,Accuracy
5,2,95,Accuracy
8,1,18,Accuracy
9,6,221,Accuracy
11,4,54,Accuracy
22,18,223,Accuracy
6,4,52,Accuracy
4,1,14,Accuracy
9,1,19,Accuracy
11,2,84,Accuracy
33,10,445,Balance
8,1,24,Accuracy
4,1,12,Accuracy
6,4,23,Accuracy
40,9,332,Balance
2,1,6,Accuracy
8,4,32,Accuracy
8,1,28,Accuracy
10,2,20,Accuracy
13,4,52,Accuracy
10,2,40,Accuracy
85,71,1270,Accuracy
2,5,31,Accuracy
20,2,214,Accuracy
8,4,36,Accuracy
4,2,14,Accuracy
5,4,113,Accuracy
6,4,50,Accuracy
7,2,42,Accuracy
19,33,282,Accuracy
1,3,23,Accuracy
7,6,80,Accuracy
10,7,39,Accuracy
4,3,20,Accuracy
4,1,22,Accuracy
5,6,45,Accuracy
1,2,10,Accuracy
2,1,6,Accuracy
5,3,108,Accuracy
21,3,246,Accuracy
6,1,17,Accuracy
11,1,23,Accuracy
2,1,12,Accuracy
9,3,33,Accuracy
32,18,361,Accuracy
8,3,33,Accuracy
9,2,63,Accuracy
26,2,102,Accuracy
11,2,24,Accuracy
26,7,116,Accuracy
18,5,130,Accuracy
16,10,161,Accuracy
12,1,19,Accuracy
52,44,901,Accuracy
9,1,35,Accuracy
14,2,39,Accuracy
14,30,243,Accuracy
13,6,116,Accuracy
8,6,145,Accuracy
3,1,8,Accuracy
49,18,412,Accuracy
4,1,8,Accuracy
0,1,11,Accuracy
8,5,95,Accuracy
18,6,129,Accuracy
6,4,30,Balance
15,2,95,Accuracy
10,3,58,Balance
8,3,34,Accuracy
16,2,63,Balance
16,4,63,Accuracy
11,3,53,Accuracy
3,2,18,Accuracy
37,14,452,Accuracy
9,4,78,Accuracy
14,8,94,Accuracy
5,2,15,Accuracy
8,3,75,Accuracy
1,1,3,Accuracy
8,4,42,Accuracy
14,15,104,Accuracy
4,7,65,Accuracy
4,11,143,Accuracy
1,1,10,Accuracy
18,11,129,Accuracy
4,3,27,Accuracy
17,3,80,Balance
1,4,15,Accuracy
10,4,36,Accuracy
3,1,7,Accuracy
4,1,9,Accuracy
5,1,10,Accuracy
10,13,348,Accuracy
24,46,415,Accuracy
7,1,18,Accuracy
9,3,32,Accuracy
27,3,149,Accuracy
33,11,246,Balance
9,1,27,Accuracy
16,4,81,Accuracy
8,3,91,Accuracy
5,1,48,Accuracy
7,3,41,Accuracy
10,7,102,Accuracy
2,1,6,Accuracy
9,4,32,Accuracy
16,3,120,Accuracy
10,1,19,Accuracy
1,3,19,Accuracy
38,13,381,Balance
6,1,29,Accuracy
11,1,19,Accuracy
5,5,82,Accuracy
6,2,102,Accuracy
8,3,151,Accuracy
6,7,47,Accuracy
11,2,47,Balance
12,5,59,Accuracy
6,2,18,Accuracy
3,1,7,Accuracy
16,18,171,Accuracy
2,1,7,Accuracy
3,7,41,Accuracy
14,2,62,Accuracy
11,2,119,Accuracy
17,2,84,Accuracy
1,1,7,Accuracy
9,13,157,Accuracy
8,1,16,Accuracy
12,3,188,Accuracy
24,10,253,Accuracy
1,2,8,Accuracy
13,5,201,Accuracy
2,1,18,Accuracy
2,2,13,Accuracy
57,5,1050,Accuracy
6,2,14,Accuracy
55,4,1044,Balance
4,3,36,Accuracy
26,3,60,Balance
5,3,34,Accuracy
5,1,12,Accuracy
15,10,337,Accuracy
9,4,63,Balance
9,18,149,Accuracy
12,4,56,Accuracy
3,1,7,Accuracy
14,2,20,Accuracy
6,1,19,Accuracy
4,1,7,Accuracy
5,1,10,Accuracy
15,10,86,Accuracy
2,5,36,Accuracy
21,9,145,Accuracy
5,4,77,Accuracy
21,16,598,Accuracy
12,2,208,Accuracy
2,9,65,Accuracy
96,264,4308,Accuracy
6,1,17,Accuracy
1,8,43,Accuracy
1,4,30,Accuracy
5,10,70,Accuracy
6,5,31,Accuracy
5,5,47,Accuracy
8,10,241,Accuracy
13,5,129,Accuracy
19,3,97,Precision
9,1,23,Accuracy
9,52,189,Accuracy
5,3,30,Accuracy
13,3,64,Accuracy
3,1,13,Accuracy
1,1,9,Accuracy
6,2,47,Accuracy
26,10,190,Precision
3,2,12,Accuracy
1,1,4,Accuracy
7,5,26,Accuracy
2,2,9,Accuracy
19,9,156,Precision
2,8,97,Accuracy
3,3,24,Accuracy
10,3,63,Accuracy
3,0,5,Accuracy
5,4,25,Accuracy
5,2,20,Accuracy
49,34,832,Accuracy
4,9,68,Accuracy
26,6,181,Gmean1
27,14,320,Gmean1
18,10,380,Accuracy
4,3,19,Accuracy
5,2,13,Accuracy
5,19,152,Accuracy
27,6,322,Gmean1
9,1,22,Accuracy
6,1,25,Accuracy
6,3,25,Accuracy
5,1,7,Accuracy
10,1,24,Accuracy
7,1,41,Accuracy
3,1,6,Accuracy
34,15,340,Accuracy
3,1,92,Accuracy
11,8,52,Accuracy
3,1,41,Accuracy
3,1,61,Accuracy
13,4,52,Accuracy
3,1,94,Accuracy
7,3,25,Accuracy
1,1,9,Accuracy
9,1,12,Accuracy
3,2,40,Accuracy
13,5,79,Accuracy
1,2,11,Accuracy
14,21,211,Fmes
15,3,101,Precision
21,3,137,Precision
1,4,20,Accuracy
2,3,15,Accuracy
2,4,23,Accuracy
11,1,45,Accuracy
6,1,15,Accuracy
4,2,33,Accuracy
6,1,24,Accuracy
4,4,134,Accuracy
8,3,74,Accuracy
4,1,13,Accuracy
4,1,13,Accuracy
9,8,60,Accuracy
27,4,276,Accuracy
0,1,7,Accuracy
7,1,20,Accuracy
10,11,127,Accuracy
8,1,19,Accuracy
28,5,151,Gmean1
3,2,16,Accuracy
3,1,6,Accuracy
2,1,9,Accuracy
2,1,6,Accuracy
18,6,257,Accuracy
1,0,8,Accuracy
2,2,15,Accuracy
5,1,12,Accuracy
31,5,123,Accuracy
12,2,19,Accuracy
15,2,55,Accuracy
3,1,15,Accuracy
2,1,11,Accuracy
4,4,34,Accuracy
4,17,150,Accuracy
2,1,24,Accuracy
12,3,57,Balance
2,4,28,Accuracy
4,3,38,Accuracy
23,8,172,Accuracy
15,22,466,Gmean1
8,16,93,Accuracy
5,2,17,Accuracy
6,12,129,Accuracy
28,11,121,Accuracy
