CBO,NOC,SLOC,Output
1,0,37,Precision
1,0,27,Precision
1,0,91,Accuracy
2,0,31,Precision
1,1,21,Gmean1 
1,7,12,Precision
4,0,95,Precision
2,0,44,Precision
1,0,64,Precision
8,0,342,Precision
5,0,39,Precision
7,0,138,Precision
5,0,75,Precision
1,0,48,Accuracy
2,0,44,Precision
20,0,203,Precision
11,2,324,Precision
1,0,115,Precision
3,0,171,Precision
2,0,242,Precision
1,3,11,Precision
0,2,21,Precision
1,3,11,Precision
0,0,3,Accuracy
8,0,56,Precision
6,0,42,Precision
0,0,9,Precision
0,0,9,Precision
3,2,56,Precision
2,0,48,Precision
2,0,44,Gmean1 
14,0,408,Precision
4,12,20,Precision
6,0,24,Precision
4,0,32,Precision
3,0,145,Precision
6,0,38,Precision
1,0,24,Gmean1 
1,0,28,Precision
2,0,25,Precision
3,0,81,Precision
10,0,47,Precision
4,0,121,Precision
8,0,72,Precision
2,0,146,Gmean1 
26,0,291,Precision
0,0,8,Precision
1,0,47,Gmean1 
1,0,66,Accuracy
4,0,115,Precision
0,0,19,Precision
0,0,40,Gmes
7,0,136,Precision
2,0,118,Gmean1 
8,0,130,Precision
3,0,88,Precision
1,7,11,Precision
10,0,40,Precision
1,3,18,Precision
0,0,12,Precision
0,0,14,Precision
2,0,80,Gmean1 
0,0,69,Precision
7,0,45,Precision
8,0,89,Precision
7,0,60,Precision
7,0,48,Precision
0,0,35,Balance
0,0,169,Precision
7,0,193,Precision
2,0,108,Gmean1 
11,0,225,Precision
0,0,27,Balance
4,0,67,Precision
0,0,11,Precision
0,0,16,Precision
6,0,113,Precision
0,0,3,Precision
7,0,98,Precision
7,0,57,Precision
2,0,16,Precision
1,0,10,Precision
1,0,52,Precision
1,0,5,Precision
0,0,3,Gmes
0,0,14,Precision
3,2,36,Precision
1,0,124,Gmean1 
1,0,57,Precision
6,6,206,Precision
4,0,113,Precision
3,0,86,Precision
6,0,55,Precision
3,0,99,Precision
4,0,53,Precision
6,0,41,Precision
4,0,24,Precision
1,0,11,Precision
11,0,99,Precision
11,0,207,Precision
3,0,118,Precision
0,0,30,Precision
0,0,3,Precision
4,0,42,Precision
3,0,101,Precision
3,0,52,Precision
3,0,43,Precision
1,0,11,Precision
3,0,137,Precision
3,0,24,Precision
0,0,33,Gmes
1,0,65,Gmean1 
1,0,65,Gmean1 
1,0,19,Precision
1,0,16,Precision
1,0,64,Precision
2,0,41,Precision
4,1,136,Precision
2,0,39,Precision
0,0,134,Precision
1,0,6,Gmean1 
5,0,72,Precision
0,0,15,Precision
5,0,148,Precision
9,0,59,Precision
2,0,15,Precision
12,0,129,Precision
2,0,23,Precision
0,1,30,Precision
1,0,44,Precision
5,0,111,Precision
1,0,24,Precision
0,0,201,Precision
1,0,21,Gmean1 
1,1,7,Gmean1 
3,0,15,Precision
4,0,108,Precision
3,0,34,Precision
11,0,726,Precision
1,0,21,Gmean1 
6,0,274,Precision
2,0,22,Precision
1,0,10,Gmean1 
0,0,56,Precision
1,1,59,Gmean1 
14,17,360,Precision
0,0,33,Precision
1,1,33,Gmean1 
14,7,273,Precision
5,0,133,Precision
0,4,33,Precision
4,0,15,Precision
0,0,112,Precision
